ms_authors,ms_title,ms_journal,ms_year,doi,title,journal,year,type,authors,error,title_match,year_match
Pettersson,"Foreign sectoral aid fungibility, growth and poverty reduction. Journal of International Development",,2007,10.1002/jid.1378,"Foreign sectoral aid fungibility, growth and poverty reduction",Journal of International Development,2007.0,journal-article,"Pettersson, J",,True,False
Easterly & Pfutze,Where Does the Money Go? Best and Worst Practices in Foreign Aid. Journal of Economic Perspectives,,2008,10.2139/ssrn.1156890,Where Does the Money Go? Best and Worst Practices in Foreign Aid,,2008.0,posted-content,"Easterly, W; Pfutze, T",,True,False
"Clay, Geddes & Natali","Figure 14.5. Trends in untying aid, 1995-2010. DIIS report",,2009,,,,,,,no DOI,False,False
Jepma,Aid tying: trade and resource allocation effects. The Economics of Aid,,1991,,,,,,,no DOI,False,False
Morrissey & White,EVALUATING THE CONCESSIONALITY OF TIED AID*. The Manchester School,,1996,10.1111/j.1467-9957.1996.tb00481.x,EVALUATING THE CONCESSIONALITY OF TIED AID*,The Manchester School,1996.0,journal-article,"MORRISSEY, O; WHITE, H",,True,False
Knack,Aid Dependence and the Quality of Governance: A Cross-Country Empirical Analysis. Southern Economic Journal,,2001,10.1596/1813-9450-2396,Aid Dependence and the Quality of Governance: A Cross-Country Empirical Analysis,,2000.0,book,"Knack, S",,True,False
Brautigam & Knack,"Foreign Aid, Institutions, and Governance in Sub‐Saharan Africa. Economic Development and Cultural Change",,2004,10.1086/380592,"Foreign Aid, Institutions, and Governance in Sub‐Saharan Africa",Economic Development and Cultural Change,2004.0,journal-article,"Bräutigam, D; Knack, S",,True,False
Bulir & Hamann,Volatility of Development Aid: From the Frying Pan into the Fire?. World Development,,2008,10.5089/9781451863253.001.a001,Volatility of Development Aid: From the Frying Pan into the Fire?,,,component,"Hamann, A; Bulíř, A",,True,False
"Fukuda-Parr, Lopes & Malik",Capacity for Development: New Solutions to Old Problems. International Journal of Sustainability in Higher Education,,2002,10.1108/ijshe.2002.24903dae.008,Capacity for Development: New Solutions to Old Problems,International Journal of Sustainability in Higher Education,2002.0,journal-article,,,True,False
Kenny,What Is Effective Aid? How Would Donors Allocate It?. European Journal of Development Research,,2008,10.1596/1813-9450-4005,What Is Effective Aid? How Would Donors Allocate It?,,2006.0,book,"Kenny, C",,True,False
Bourguignon & Sundberg,Aid Effectiveness—Opening the Black Box. American Economic Review,,2007,10.1257/aer.97.2.316,Aid Effectiveness—Opening the Black Box,American Economic Review,2007.0,journal-article,"Bourguignon, F; Sundberg, M",,True,False
