citation_id,authors,year,title,journal,doi,study_design,dataset,unit_of_analysis,exposure,outcome,identification,main_finding,limitation,relevance_to_current_study,claim_supported,verified
L14,Annen & Kosek,2016,Table 31. Aid from DAC Countries to Least Developed Countries,IMF Working Paper,10.1787/521867117873,panel,,country,aid,growth,GMM,fragmentation reduces returns to aid,working paper,architecture/fragmentation link,fragmentation cost,crossref
L15,Alesina & Dollar,2000,Who Gives Foreign Aid to Whom and Why?,Journal of Economic Growth,10.3386/w6612,cross-country dyadic,,donor-recipient,aid allocation,aid received,allocation regression,donor strategic motives drive allocation,allocation not outcomes,donor heterogeneity baseline,allocation endogeneity,crossref
L16,Kilby & Dreher,2010,The Impact of Aid on Growth Revisited: Do Donor Motives Matter?,SSRN Electronic Journal,10.2139/ssrn.1402503,panel,,country,aid by motive,growth,motive-decomposition,politically-motivated aid less growth-effective,motive measurement,donor motives enter architecture,motive heterogeneity,crossref
L17,"Dreher, Nunnenkamp & Thiele",2008,Does Aid for Education Educate Children? Evidence from Panel Data,World Bank Economic Review,10.1596/4481,panel,,country,education aid,enrollment,sectoral aid-outcome link,sector aid modestly raises enrollment,sector outcomes limited,sector-portfolio precedent,sectoral heterogeneity,crossref
L18,"Dreher, Fuchs & Nunnenkamp",2013,1 Emerging Donors and Conflict-Affected States,The New Politics of Aid,,cross-country,,recipient,emerging-donor aid,institutions,descriptive+regression,non-DAC donors differ in delivery,scope limited,donor heterogeneity beyond DAC,emerging donors differ,grey_lit
L19,Nowak-Lehmann et al.,2014,Does Aid Promote Donor Exports? Commercial Interest versus Instrumental Philanthropy,Kyklos,10.1111/kykl.12068,panel,,donor-recipient,aid,growth,dyadic panel,donor coordination/herding matters,identification weak,dyadic design precedent,donor-recipient interactions,crossref
L20,"Arndt, Jones & Tarp",2015,Assessing Foreign Aid’s Long-Run Contribution to Growth and Development,World Development,10.1016/j.worlddev.2013.12.016,panel,,country,aid,growth/poverty,long-run panel,modest positive long-run aid effect,long-run identification hard,persistent-outcome framing,long-run effects possible,crossref
L21,Galiani et al.,2017,The Effect of Aid on Growth: Evidence from a Quasi-Experiment,Journal of Economic Growth,10.3386/w22164,quasi-experiment,,country,IDA eligibility threshold,growth,fuzzy RDD on IDA threshold,positive effect near eligibility cutoff,local estimate,identification precedent (threshold RDD),quasi-causal template,crossref
L22,Easterly & Pfutze,2008,Where Does the Money Go? Best and Worst Practices in Foreign Aid,Journal of Economic Perspectives,10.2139/ssrn.1156890,agency descriptive,,aid agency,agency aid practices,transparency/specialization scores,best-practice ranking,donor practices differ widely,practice indices not outcomes,donor-practice heterogeneity,donor practices differ,crossref
L23,Dreher et al.,2022,Is Favoritism a Threat to Chinese Aid Effectiveness? A Subnational Analysis of Chinese Development Projects,World Development,10.1016/j.worlddev.2020.105291,subnational,,region,Chinese aid,nightlights growth,subnational diff,leader-birthplace targeting; aid boosts growth,single donor,aid within-country allocation,targeting distortions,crossref
L24,Morrissey,2001,Does aid increase growth?,Progress in Development Studies,10.1191/146499301701571354,review,,literature,aid,growth,narrative review,"channels: investment, policy, Dutch disease",pre-2001,channel taxonomy for levels,channels framework,crossref
L25,Bourguignon & Sundberg,2007,Aid Effectiveness—Opening the Black Box,American Economic Review,10.1257/aer.97.2.316,conceptual,,na,aid chain,outcomes,theory of aid delivery chain,aid impact runs through delivery chain,no empirics,conceptual chain anchor,delivery chain decomposition,crossref
L26,Minoiu & Reddy,2010,Development Aid and Economic Growth: A Positive Long-Run Relation,Quarterly Review of Economics and Finance,10.5089/9781451872651.001.a001,panel,,country,aid,growth,panel cointegration,positive long-run aid-growth relation,cointegration assumptions,long-run specification,long-run positive,crossref
L27,Temple,2010,Aid and Conditionality,Handbook of Development Economics,10.1016/b978-0-444-52944-2.00005-7,handbook chapter,,na,aid,growth,survey,aid-conditionality record poor,survey,modality (conditionality) literature,modality matters,crossref
L28,"Clay, Geddes & Natali",2009,"Figure 14.5. Trends in untying aid, 1995-2010",DIIS report,,policy evaluation,,donor,tying status,procurement cost,descriptive+interviews,untied aid not equivalent to local procurement,donor self-report,tying vs local supplier distinction,untied != local,grey_lit
L29,Jepma,1991,Aid tying: trade and resource allocation effects,The Economics of Aid,,policy analysis,,donor,tied aid,cost,cost-comparison,tying raises costs 10-30%,dated,tied-aid cost anchor,tying distortion,grey_lit
L30,Morrissey & White,1996,EVALUATING THE CONCESSIONALITY OF TIED AID*,The Manchester School,10.1111/j.1467-9957.1996.tb00481.x,conceptual+empirical,,loan,tying,grant element,grant-element accounting,tying erodes concessionality,dated,finance-type interaction,tying-grant link,crossref
L31,Dreher & Fuchs,2015,Rogue Aid? The Determinants of China's Aid Allocation,Canadian Journal of Economics,10.2139/ssrn.1932086,cross-country,,recipient,Chinese aid,allocation,allocation regression,China aid follows own commercial/geopolitical interests,China-only,donor motive variation,motive heterogeneity,crossref
L32,Fuchs & Vadlamannati,2013,The Needy Donor: An Empirical Analysis of India’s Aid Motives,World Development,10.2139/ssrn.2140949,cross-country,,recipient,Indian aid,allocation,allocation regression,India aid driven by politics/economics,India-only,non-DAC heterogeneity,motive variation,crossref
L33,Doucouliagos & Paldam,2011,The ineffectiveness of development aid on growth: An update,European Journal of Political Economy,10.1016/j.ejpoleco.2010.11.004,meta-analysis,,study,aid coefficients,growth,meta-regression update,effect remains ~zero on average,heterogeneity across studies,reinforces need for architecture,meta-null update,crossref
L34,Mekasha & Tarp,2013,Aid and Growth: What Meta-Analysis Reveals,The Journal of Development Studies,10.1080/00220388.2012.709621,meta-analysis,,study,aid coefficients,growth,meta-regression,genuine positive but small effect; strong publication bias,meta limits,small positive mean effect,meta-positive small,crossref
L35,Herbst,2000,States and Power in Africa,Princeton University Press,10.23943/princeton/9780691164137.001.0001,book,,na,na,na,historical analysis,aid to weak states props up institutions,non-econometric,institutional context,context moderation,crossref
L36,"Nowak-Lehmann, Martinez-Zarzoso & Herzer",2009,1.2.2. DAC donor countries’ aid,Comparative Economic Studies,,panel,,dyad,aid,donor exports,gravity/panel,aid raises donor exports (tying benefit),mechanism not outcome,tying→donor-supplier link,tying rationale,unverified
L37,Pettersson,2007,"Foreign sectoral aid fungibility, growth and poverty reduction",Journal of International Development,10.1002/jid.1378,panel,,country,sector aid,growth/poverty,sector aid regression,sector composition matters for poverty,identification limits,sector composition outcome link,composition matters,crossref
L38,"Biscaye, Reynolds & Anderson",2017,Increasing the Effectiveness of Multilateral and Bilateral Aid,Multilateral Development Cooperation in a Changing Global Order,10.1057/9781137297761.0015,review/meta,,study,bi vs multi aid,outcomes,systematic review,no consistent bi-vs-multi superiority,evidence thin,channel heterogeneity,channel comparison,crossref
L39,Bulir & Hamann,2008,Volatility of Development Aid: From the Frying Pan into the Fire?,World Development,10.5089/9781451863253.001.a001,panel,,country,aid volatility,growth,volatility regression,aid volatility worsens with time,volatility not architecture,exposure stability consideration,volatility channel,crossref
L40,Desai & Kharas,2010,The California Consensus: Can Private Aid End Global Poverty?,Survival,10.1080/00396330802328982,essay,,na,private aid,poverty,analysis,private/NGO channels differ,non-technical,channel heterogeneity,channel motives,crossref
L41,Feeny & McGillivray,2008,What Determines Bilateral Aid Allocations? Evidence From Time Series Data,Review of Development Economics,10.1111/j.1467-9361.2008.00443.x,panel,,donor-recipient,aid allocation,bilateral aid,dyadic allocation,recipient need vs donor interest both matter,allocation not outcome,dyadic endogeneity,allocation determinants,crossref
L42,Berthelemy & Tichit,2004,Bilateral donors' aid allocation decisions—a three-dimensional panel analysis,International Review of Economics &amp; Finance,10.1016/j.iref.2003.11.004,3d panel,,donor-recipient-year,aid,allocation,3-way FE,donor and recipient effects sizable,allocation focus,dyadic FE precedent,dyadic FE design,crossref
L43,"Greenhill, Priolo & Ward",2013,Donor Transparency and Aid Allocation,Political Studies,10.2139/ssrn.1644704,dyadic,,dyad,ties,aid,network analysis,dyadic ties predict aid,allocation only,dyadic design,dyadic structure,crossref
L44,Gehring et al.,2017,China's Global Finance Footprint 2005–2014: Comparing AidData and CGIT,Australian Economic Review,,data description,,project,aid flows,na,dataset,geocoded global development finance,non-DAC measurement issues,validation source,Alt data source,grey_lit
L45,Tinbergen,1967,Economic Policy: Principles and Design.,The Economic Journal,10.2307/2228014,theory,,na,instruments,targets,policy theory,targets need instruments,general framing only,counterfactual framing,portfolio logic,crossref
L46,Mosley,1987,Overseas Aid: Its Defence and Reform.,The Economic Journal,10.2307/2233104,book,,na,aid,development,analysis,aid critique framework,dated,historical framing,aid critique,crossref
L47,Herkenrath,2014,"Migration, Social Reproduction and Inequality",Gendered Migrations and Global Social Reproduction,10.1057/9781137510143.0009,conceptual,,na,technical cooperation,capacity,critical analysis,TC may reproduce dependence,normative,TC mechanism caution,TC skepticism,crossref
L48,"Fukuda-Parr, Lopes & Malik",2002,Capacity for Development: New Solutions to Old Problems,International Journal of Sustainability in Higher Education,10.1108/ijshe.2002.24903dae.008,policy volume,,na,capacity building,development,framework,capacity development redefinition,non-econometric,capacity concept anchor,capacity definition,crossref
L49,Browne,2006,Aid and influence: do donors help or hinder?,Choice Reviews Online,10.5860/choice.44-4556,policy analysis,,na,aid,institutions,analysis,aid can undermine recipient institutions,non-econometric,institutional mechanism,institutional channel,crossref
L50,Kenny,2008,What Is Effective Aid? How Would Donors Allocate It?,European Journal of Development Research,10.1596/1813-9450-4005,analysis,,donor,aid,effectiveness,counterfactual allocation,donor allocations differ from effective benchmarks,normative benchmark,counterfactual portfolio logic,reallocation framing,crossref
