OECD Development Cooperation Directorate (DCD-DAC),,,,,,,,,,,,,,,,
Single table - for 2025 data,,,, ,,,,,,,,,,,,
including codes for channel pilot project,,,,,,,,,,,,,,,,
Updated January 2026,,,,,,,,,,,,,,,,
https://www.oecd.org/en/topics/sub-issues/oda-eligibility-and-conditions/dac-list-of-oda-recipients.html,,,,,,,,,,,,,Work in progress,,,
,,,,,,,,,,,,,For non-reporting organisations,,,
41100,41119,2025,UNFPA,United Nations Population Fund ,UNFPA,Fonds des Nations Unies pour la population,100,974,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2008)5,
41100,41120,2025,UN Habitat,United Nations Human Settlement Programme ,UN Habitat,Programme des Nations Unies pour les établissements humains,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2004)3,
41100,41121,2025,UNHCR,United Nations Office of the High Commissioner for Refugees,HCR,Haut Commissariat des Nations Unies pour les réfugiés,100,967,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41122,2025,UNICEF,United Nations Children’s Fund ,UNICEF,Fonds des Nations Unies pour l'enfance,100,963,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41123,2025,UNIDO,United Nations Industrial Development Organisation ,ONUDI,Organisation des Nations Unies pour le développement industriel,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,30010,2025,UNITAID,International drug purchase facility,UNITAID,Facilité internationale d'achat de médicaments,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Change of Channel Category:  DCD/DAC/STAT(2012)1.  Added:  DCD/DAC/STAT(2007)7,
41100,41125,2025,UNITAR,United Nations Institute for Training and Research ,UNITAR,Institut des Nations Unies pour la formation et la recherche ,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41127,2025,UNOCHA,United Nations Office of Co-ordination of Humanitarian Affairs ,OCHA,Bureau des Nations Unies pour la coordination de l'assistance humanitaire,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2006)15,
41100,41146,2025,UNWOMEN,United Nations Entity for Gender Equality and the Empowerment of Women,ONU Femmes,Entité des Nations Unies pour l'égalité des sexes et l'autonomisation de la femme,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2011)16,
41100,41129,2025,UNRISD,United Nations Research Institute for Social Development ,UNRISD,Institut de recherche des Nations Unies pour le développement social ,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2008)5,
41100,41131,2025,UNSSC,United Nations System Staff College ,UNSSC,Ecole des cadres du système des Nations Unies,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed Acronym:  DCD/DAC/STAT(2008)5  Renamed:  DCD/DAC/STAT(2003)2,
41100,41134,2025,UNU,United Nations University (including Endowment Fund) ,UNU,Université des Nations Unies (y compris le Fonds de dotation),100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41135,2025,UNV,United Nations Volunteers ,UNV,Programme des volontaires des Nations Unies ,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41130,2025,UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UNRWA,Office de secours et de travaux des Nations Unies pour les réfugiés de Palestine dans le Proche-Orient,100,964,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2008)5,
41100,41140,2025,WFP,World Food Programme ,PAM,Programme alimentaire mondial,100,966,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41143,2025,WHO-CVCA,World Health Organisation - core voluntary contributions account,OMS-CVSOD,Organisation mondiale de la santé - compte de contributions volontaires sans objet désigné,100,930,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,45002,2025,WTO-ACWL,World Trade Organisation - Advisory Centre on WTO Law,OMC-CCLO,Centre consultatif sur la législation de l'Organisation mondiale du commerce,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2006)15,
41100,45003,2025,WTO-GTF,World Trade Organisation Global Trust Fund,OMC-FGAS,Organisation mondiale du commerce - Fonds global d'affectation spéciale ,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2003)2,
41100,45001,2025,WTO-ITC,World Trade Organisation - International Trade Centre ,OMC-CCI,Centre du commerce international de l'Organisation mondiale du commerce,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41000,41300,,,Other UN (Core Contributions Reportable in Part),,Autres Nations Unies (contributions comptabilisables pour partie),,,,,,,,,,
41300,41305,2025,UN,United Nations,ONU,Organisation des Nations Unies,52,938,B02,B021,MCD,,,,Coefficient increased from 47%: DCD/DAC/STAT(2021)20/REV3; Change of Channel Category:DCD/DAC/STAT(2020)47;Coefficient increased from 18%: DCD/DAC/STAT(2020)19; Coefficient increased from 12%: DCD/DAC/STAT(2013)12; Renamed:  DCD/DAC/STAT(2008)5,
41300,41301,2025,FAO,Food and Agricultural Organisation,FAO,Organisation des Nations Unies pour l'alimentation et l'agriculture,83,932,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Coefficient increased from 51%:  DCD/DAC/STAT(2019)17.  Request to increase coefficient to 66% was rejected by WP-STAT: DCD/DAC/STAT(2010)5.  Coefficient agreed:  DCD/DAC/STAT(2003)2,
41300,41151,2025,IARC,International Agency for Research on Cancer,CIRC,Centre international de recherche sur le cancer,51,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2020)16,
41300,41312,2025,IAEA-Assessed,International Atomic Energy Agency - assessed contributions,AIEA-obligatoires,Agence internationale de l'énergie atomique - contributions obligatoires,33,941,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2009)6,
41300,41302,2025,ILO-Assessed,International Labour Organisation - Assessed Contributions,OIT-Obligatoires,Organisation internationale du travail - contributions obligatoires,60,940,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Coefficient increased from 15%: DCD/DAC/STAT(2010)5,
41300,41303,2025,ITU,International Telecommunications Union,UIT,Union internationale des télécommunications,18,937,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;,
41300,41306,2025,UPU,Universal Postal Union ,UPU,Union postale universelle,16,936,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Coefficient agreed:  DCD/DAC/STAT(2003)2,
41300,41310,2025,UNDPO,"United Nations Department of Peace Operations – UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",UNDPO,"Département des opérations de paix des Nations unies. Opérations de maintien de la paix [seulement MINURSO,MINUSCA,MINUSMA, MINUSTAH,MONUSCO,MINUAD, FINUL,FISNUA,MINUK, MINUL,UNMISS,ONUCI]. Notifier les contributions mission par mission au format SNPC++.",15,943,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;List of eligible operations adjusted to reflect MINUJUSTH as a follow-on mission to MINUSTAH which terminated in 2017 (updated 2019).  Revised coefficient (increased from 7%):  DCD/DAC(2017)24.  MINUSCA added:  DCD/DAC/STAT(2015)20. Coefficient increased from 6%: DCD/DAC/STAT/RD(2013)1/RD6. Coefficient reviewed and confirmed:  DCD/DAC/STAT(2012)3. Coefficient decreased from 7% and name updated: DCD/DAC/STAT(2010)9. Revised to exclude certain missions: DCD/DAC/STAT(2009)8; Renamed:  DCD/DAC/STAT(2008)5.  Coefficient agreed:  DCD/DAC/STAT(2007)8 and DCD/DAC/STAT(2006)4.,
41300,41314,2025,UNECE,United Nations Economic Commission for Europe (extrabudgetary contributions only),CEE-ONU,Commission économique des Nations unies pour l'Europe (contributions extrabudgétaires uniquement),58,948,B02,B021,MCD,x,,,Coefficient decreased: DCD/DAC/STAT(2021)20/REV3; Change of Channel Category:DCD/DAC/STAT(2020)47;Added: DCD/DAC/STAT(2009)6,
41300,41304,2025,UNESCO,"United Nations Educational, Scientific and Cultural Organisation",UNESCO,"Organisation des Nations Unies pour l’éducation, la science et la culture ",60,942,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Coefficient increased from 44%: DCD/DAC/STAT(2010)5   Revised coefficient agreed from 25%: DCD/DAC/STAT(2009)6,
41300,41316,2025,UNFCCC,United Nations Framework Convention on Climate Change ,CCNUCC,Convention-cadre des Nations unies sur les changements climatiques,61,924,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41300,41313,2025,OHCHR,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),HCDH,Haut-Commissariat des Nations unies aux droits de l'homme (contributions extrabudgétaires uniquement),88,946,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Revised coefficient:  DCD/DAC/STAT(2017)13.  Added: DCD/DAC/STAT(2009)6,
41300,41315,2025,UNDRR,United Nations Office for Disaster Risk Reduction,UNDRR,Bureau des Nations Unies pour la prévention de catastrophes,75,977,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added: DCD/DAC/STAT(2010)5,
41300,41502,2025,UNOPS,United Nations Office for Project Services,UNOPS,Le Bureau des Nations Unies pour les services d'appui aux projets ,Not assessed,,Not applicable,Not applicable,Not MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
41300,41307,2025,WHO-Assessed,World Health Organisation - assessed contributions,OMS-obligatoires,Organisation mondiale de la santé - contributions obligatoires,76,931,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Revised coefficient agreed: DCD/DAC/STAT(2009)6; Coefficient agreed:  DCD/DAC/STAT(2003)2,
41300,41321,2025,WHO-SPRP,World Health Organisation - Strategic Preparedness and Response Plan,OMS-PSPI,Organisation mondiale de la santé - Plan stratégique de préparation et d'intervention,88,,B02,B021,MCD,,,,Added: DCD/DAC/STAT(2021)34,
41300,41308,2025,WIPO,World Intellectual Property Organisation ,OMPI,Organisation mondiale de la propriété intellectuelle ,3,814,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Coefficient agreed:  DCD/DAC/STAT(2003)2,
41300,41309,2025,WMO,World Meteorological Organisation ,OMM,Organisation météorologique mondiale,4,933,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Coefficient agreed:  DCD/DAC/STAT(2003)2,
41300,41319,2025,UNWTO,World Tourism Organization,OMT,Organisation mondiale du tourisme ,89,,B02,B021,Not MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2017)13,
41300,41150,2025,UNIDIR,United Nations Institute for Disarmament Research,UNIDIR,Institut des Nations Unies pour la recherche sur le désarmement,36,,B02,B021,Not MCD,,,,Revised coefficient (DCD/DAC/STAT(2023)43); Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2019)17 ,
41300,41104,2025,ECLAC,Economic Commission for Latin America and the Caribbean,CEPALC,Commission économique pour l'Amérique latine et les Caraïbes,60,,B02,B021,MCD,,,,Coefficient decreased: DCD/DAC/STAT(2021)20/REV3; Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2006)15,
41300,41105,2025,ESCWA,Economic and Social Commission for Western Asia,CESAO,Commission économique et sociale pour l'Asie occidentale,87,,B02,B021,MCD,,,,Coefficient decreased: DCD/DAC/STAT(2021)20/REV3; Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2006)15,
41300,41106,2025,ESCAP,Economic and Social Commission for Asia and the Pacific ,CESAP,Commission économique et sociale pour l'Asie et le Pacifique,72,,B02,B021,MCD,,,,Coefficient decreased: DCD/DAC/STAT(2021)20/REV3; Change of Channel Category:DCD/DAC/STAT(2020)47,
41300,41128,2025,UNODC,United Nations Office on Drugs and Crime ,UNODC,Office des Nations Unies contre la drogue et le crime,71,,B02,B021,MCD,,,,Coefficient decreased: DCD/DAC/STAT(2021)20/REV3; Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2008)5,
41000,41400,,,UN inter-agency pooled funds,,Fonds communs interinstitutions des Nations Unies,,,,,,,,,New Channel Category:DCD/DAC/STAT(2020)47,
41400,41147,2025,CERF,Central Emergency Response Fund,CERF,Fonds central pour les interventions d'urgence,100,,B02,B022,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2011)16,
41400,41403,2025,COVID-19 MPTF,COVID-19 Response and Recovery Multi-Partner Trust Fund,COVID-19 MPTF,COVID-19 Response and Recovery Multi-Partner Trust Fund,100,,B02,B022,MCD,,,,Added: DCD/DAC/STAT(2021)30,
41400,41402,2025,Joint SDG Fund,Joint Sustainable Development Goals Fund,Fonds conjoint des ODD,Fonds conjoint des objectifs de développement durable,100,,B02,B022,MCD,,,,Added: DCD/DAC/STAT(2021)30,
41400,41503,2025,UN-CBPF,UN-led Country-based Pooled Funds,,Fonds communs nationaux dirigés par les Nations unies,,,B03,B031,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added as part of the Channel Pilot:  DCD/DAC/STAT(2017)13,
41400,41141,2025,PBF,United Nations Peacebuilding Fund,PBF,Fonds des Nations Unies pour la consolidation de la paix,100,,B02,B022,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added: DCD/DAC/STAT(2008)10,
41400,41401,2025,UN-MPTFO,UN-Multi Partner Trust Fund Office,UN-MPTFO,UN-Multi Partner Trust Fund Office,,,,B031,MCD,,,,Added:DCD/DAC/STAT(2020)47,
41400,41501,2025,UN-REDD,United Nations Reducing Emissions from Deforestation and Forest Degradation,ONU-REDD,Réduction des émissions liées à la déforestation et à la dégradation des forêts,Not assessed,,B03,B031,Not MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
41000,41500,,,UN single-agency thematic funds,,Fonds thématiques uniques des Nations Unies,,,,,,,,,New Channel Category:DCD/DAC/STAT(2020)47,
41500,41148,2025,UNDPPA-SZA,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs.",UNDPPA-SZA,"Département des affaires politiques et de consolidation de la paix des Nations Unies, Fonds d'affectation spéciale à l'appui des affaires politiques.",100,,B02,B032,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41000,41600,,,Existing UN channels not included in Standard I - UN entity- of the UN Data Cube reporting framework,,Canaux de l'ONU existants non inclus dans la norme I du cadre de reporting du cube de l'ONU,,,,,,,,,New Channel Category:DCD/DAC/STAT(2020)47,
41600,41318,2025,GM,Global Mechanism,MM,Mécanisme mondial,100,,B02,B032,MCD,,,,"Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2015)22
Sub-entity of UNCCD UN Convention to Combat Desertification ",
41600,47065,2025,IOC,Intergovernmental Oceanographic Commission ,COI,Commission océanographique intergouvernementale,100,,B02,B032,Not MCD,,,,"Change of Channel Category:DCD/DAC/STAT(2020)47; Sub-entity of UNESCO United Nations Educational, Scientific and Cultural Organisation",
41600,47078,2025,Montreal Protocol,Multilateral Fund for the Implementation of the Montreal Protocol ,Protocol de Montréal,Fonds multilatéral pour l’application du Protocole de Montréal ,100,812,B02,B022,MCD,x,,,Renamed:  DCD/DAC/STAT(2003)2; Change of Channel Category:DCD/DAC/STAT(2020)47; Sub-entity of UNEP United Nations Environment Programme ,
41600,41142,2025,UNDEF,United Nations Democracy Fund,FNUD,Fonds des Nations Unies pour la démocratie,100,,B02,B032,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added: DCD/DAC/STAT(2008)10; Sub-entity of the UN Secretariat,
41600,41126,2025,UNMAS,United Nations Mine Action Service ,UNMAS,Service de l'action antimines des Nations Unies,100,,B02,B022,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2002)3; Sub-entity of UN DPO UN Department of Peace Operations,
41600,41133,2025,UNSIA,United Nations Special Initiative on Africa ,UNSIA,Initiative spéciale des Nations Unies pour l'Afrique,100,,B02,B032,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47; Sub-entity of ECA Economic Commission for Africa ,
41600,41132,2025,UNSCN,United Nations System Standing Committee on Nutrition ,UNSCN,Comité permanent de la nutrition du système des Nations Unies,100,,B02,Not applicable,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2003)2; Sub-entity of FAO Food and Agricultural Organisation. UNSCN has been merged under UN Nutrition as of 1 January 2021,
41600,41137,2025,UNVFTC,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,,Fonds de contributions volontaires des Nations Unies pour la coopération technique dans le domaine des droits de l'homme,100,,B02,B032,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47; Sub entity of OHCHR United Nations High Commissioner for Human Rights,
41600,41138,2025,UNVFVT,United Nations Voluntary Fund for Victims of Torture ,,Fonds de contributions volontaires des Nations Unies pour les victimes de la torture ,100,,B02,B032,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2003)2; Sub entity of OHCHR United Nations High Commissioner for Human Rights,
41600,41136,2025,UNVFD,United Nations Voluntary Fund on Disability ,,Fonds de contributions voluntaires des Nations Unies pour les handicapés,100,,B02,B032,MCD,,,,Sub-entity of UN DESA United Nations Department of Economic and Social Affairs; Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2001)6,
40000,42000,,,European Union Institution (EU),,Institution de l’Union européenne (UE) ,,,,,,,,,,
42000,42001,2025,EC,European Commission - Development Share of Budget,CE,Commission européenne - partie du budget affectée au développement,100,917,B02,B021,MCD,x,,,,
42000,42003,2025,EDF,European Commission - European Development Fund,FED,Commission européenne - Fonds européen de développement,100,918,B02,B021,MCD,x,,,,
42000,42004,2025,EIB,European Investment Bank ,BEI,Banque européenne d'investissement,100,919,B02,B021,MCD,x,,,"Use this code for reporting i) interest subsidies provided to soften the terms of loans administered by the EIB - classified as multilateral ODA and ii) contributions to EIB administered trust funds (FEMIP, NIF, EPTATF, EU AITF and ERI Fund) which are classified as bilateral ODA [cf. DCD/DAC/STAT(2011)16 and DCD/DAC/STAT(2018)35].  Capital subscriptions to the EIB are not reportable.  ",
40000,43000,,,International Monetary Fund (IMF),,Fonds monétaire international (FMI),,,,,,,,,,
43000,43006,2025,IMF-CCR,Catastrophe Containment and Relief Trust,FMI-ARC,Fonds fiduciaire d’assistance et de riposte aux catastrophes,100,,B02,B022,MCD,,,,Added:  DCD/DAC/STAT(2016)23/REV1,
43000,43005,2025,IMF-PCDR,International Monetary Fund - Post-Catastrophe Debt Relief Trust,FMI-ADAC,Fonds monétaire international  - Fonds fiduciaire pour l'allégement de la dette après une catastrophe,100,,B02,B022,MCD,x,,,Added:  DCD/DAC/STAT(2011)16,
43000,43002,2025,IMF-PRG-HIPC,"International Monetary Fund - Poverty Reduction and Growth - Heavily Indebted Poor Countries Debt Relief Initiative Trust Fund [includes HIPC, Extended Credit Facility (ECF), and ECF-HIPC sub-accounts] ",FMI-FRPC-PPTE,"Fonds monétaire international – Réduction de la pauvreté et croissance – Initiative d’allègement de la dette en faveur des pays pauvres très endettés [y compris Initiative PPTE, Facilité élargie de crédit (FEC) et sous-comptes (FEC-PPTE)]",100,949,B02,B022,MCD,x,,,Acronym and title amended: DCD/DAC/STAT(2010)5,
43000,43004,2025,IMF-PRG-MDRI,International Monetary Fund - Poverty Reduction and Growth - Multilateral Debt Relief Initiative Trust,FMI-FRPC-IADM,Fonds monétaire international – Facilité pour la réduction de la pauvreté et pour la croissance – Initiative d’allègement de la dette multilatérale,100,,B02,Not applicable,MCD,,,,The IMF-PRG-MDRI is closed (contributions can no longer be made) but the channel code is maintained for historical data,
43000,43001,2025,IMF-PRGT,International Monetary Fund - Poverty Reduction and Growth Trust ,FMI-FRPC,Fonds monétaire international – Facilité pour la réduction de la pauvreté et pour la croissance,100,958,B02,B022,MCD,x,,,Acronym and title amended: DCD/DAC/STAT(2010)5,
43000,43003,2025,IMF-EPCA-ENDA,International Monetary Fund - Subsidization of Emergency Post Conflict Assistance/Emergency Assistance for Natural Disasters for PRGT-eligible members,FMI-EPCA-ENDA,Fonds monétaire international – Aide d’urgence après un conflit (EPCA) et aide d’urgence à la suite de catastrophes naturelles (ENDA) pour les membres pouvant bénéficier de la FRPC,100,,B02,B022,MCD,x,,,Acronym and title amended: DCD/DAC/STAT(2010)5  Added:  DCD/DAC/STAT(2006)15,
43000,43007,2025,IMF-RST,IMF Resilience and Sustainability Trust,FMI-RST,Fonds monétaire international - Fonds fiduciaire pour la résilience et la durabilité,100,,B02,B022,MCD,,,,Added: DCD/DAC/STAT(2023)6/REV1,
40000,44000,,,World Bank Group (WB),,Groupe de la Banque mondiale (BM),,,,,,,,,,
44000,44006,2025,AMCs,Advance Market Commitments,AMC,Garanties de marché,100,,B02,B022,MCD,x,,,Added:  DCD/DAC/STAT(2007)10,
44000,44001,2025,IBRD,International Bank for Reconstruction and Development ,BIRD,Banque internationale pour la reconstruction et le développement,100,901,B02,B021,MCD,x,,,,
44000,44002,2025,IDA,International Development Association ,IDA,Association internationale de développement,100,905,B02,B021,MCD,x,,,,
44000,44003,2025,IDA-HIPC,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,IDA-PPTE,Association internationale de développement - Fonds fiduciaire de l'IDA en faveur des pays pauvres très endettés,100,,B02,B022,MCD,x,,,,
44000,44007,2025,IDA-MDRI,International Development Association - Multilateral Debt Relief Initiative,IDA-IADM,Association internationale de développement - Initiative d’allégement de la dette multilatérale,100,904,B02,B021,MCD,x,,,Added: DCD/DAC/STAT(2008)10,
44000,44004,2025,IFC,International Finance Corporation ,SFI,Société financière internationale ,100,903,B02,B021,MCD,x,,,,
44000,44005,2025,MIGA,Multilateral Investment Guarantee Agency ,AMGI,Agence multilatérale de garantie des investissements,100,902,B02,B021,MCD,,,,,
44000,44008,2025,PMI,Partnership for Market Implementation,PMI,Partnership for Market Implementation,100,,B02,B021,Not MCD,,,,Added: DCD/DAC/STAT(2021)4,
46000,46000,,,Regional Development Bank,,Banque régionale de développement (BRD),,,,,,,,,,
46000,46002,2025,Afr.DB,African Development Bank,BAfD,Banque africaine de développement,100,913,B02,B021,MCD,x,,,"Revised to exclude the words ""ordinary capital"": DCD/DAC/STAT(2009)6.",
46000,46003,2025,Afr.DF,African Development Fund ,FAD,Fonds africain de développement,100,914,B02,B021,MCD,x,,,,
46000,46022,2025,Afreximbank,African Export Import Bank,Afreximbank,Banque Africaine d'Import-Export,100,,B02,B021,MCD,,,,Added:  DCD/DAC/STAT(2013)12,
46000,46004,2025,AsDB,Asian Development Bank,BAsD,Banque asiatique de développement,100,915,B02,B021,MCD,x,,,"Revised to exclude the words ""ordinary capital"": DCD/DAC/STAT(2009)6.",
46000,46005,2025,AsDF,Asian Development Fund ,FAsD,Fonds asiatique de développement,100,916,B02,B021,MCD,x,,,Renamed:  DCD/DAC/STAT(2011)16.,
46000,46026,2025,AIIB,Asian Infrastructure Investment Bank,BAII,Banque Asiatique d’Investissement dans les Infrastructures,85,,B02,B021,MCD,,,,Added:  DCD/DAC/STAT(2017)13,
46000,46006,2025,BSTDB,Black Sea Trade and Development Bank,BSTDB,Black Sea Trade and Development Bank,61,,B02,B021,MCD,,,,Revised coefficient and placement - code 47124 deleted: DCD/DAC/STAT(2009)6. Revised placement June 2008.  Added: DCD/DAC/STAT(2005)9.  For reference see DCD/DAC/STAT/A(2004)1/RD14.,
46000,46009,2025,CDB,Caribbean Development Bank ,BDC,Banque de développement des Caraïbes,100,906,B02,B021,MCD,x,,,,
46000,46020,2025,BDEAC,Central African States Development Bank,BDEAC,Banque de développement des États de l'Afrique Centrale,100,,B02,B021,MCD,,,,Added:  DCD/DAC/STAT(2011)16,
46000,46007,2025,CABEI,Central American Bank for Economic Integration ,BCAIE,Banque centroaméricaine d'intégration économique,100,910,B02,B021,MCD,,,,,
46000,46024,2025,CEB,Council of Europe Development Bank,CEB,Banque de Développement du Conseil de l'Europe,18,,B02,B021,MCD,x,,,Added:  DCD/DAC/STAT(2014)4,
46000,46008,2025,CAF,Development Bank of Latin America,CAF,Banque de développement de l'Amérique latine,100,,B02,B021,MCD,,,,Renamed Development Bank of Latin America (previously Andean Development Corporation) (updated 2019).,
46000,46023,2025,TDB,Eastern and Southern African Trade and Development Bank,TDB,Banque de l’Afrique de l’Est et de l’Afrique Australe pour le Commerce et le Développement,100,,B02,B021,,,,,Added:  DCD/DAC/STAT(2013)12,
46000,46015,2025,EBRD,European Bank for Reconstruction and Development,BERD,Banque européenne pour la reconstruction et le développement,71,,B02,B021,MCD,x,,,Revised coefficient (DCD/DAC/STAT(2023)43); Added: DCD/DAC/STAT(2010)5; ,
46000,46018,2025,EBRD-ETC,European Bank for Reconstruction and Development - Early Transition Countries Fund,BERD-ETC,Banque européenne de reconstruction et de développement - Initiative en faveur des pays en transition précoce,100,,B02,B022,MCD,,,,,
46000,46017,2025,EBRD TFs - All Countries,European Bank for Reconstruction and Development – technical co-operation and special funds (all EBRD countries of operations),BERD-CTFS tous pays,Banque européenne pour la reconstruction et le développement - coopération technique et fonds spéciaux (tous pays),71,,B02,B022,MCD,,,,Revised coefficient (DCD/DAC/STAT(2023)43); Added: DCD/DAC/STAT(2010)5; ,
46000,46016,2025,EBRD TFs - ODA Countries Only,European Bank for Reconstruction and Development – technical co-operation and special funds (ODA-eligible countries only),BERD-CTFS pays éligibles à l'APD,Banque européenne pour la reconstruction et le développement - coopération technique et fonds spéciaux (pays éligibles à l'APD),100,,B02,B022,MCD,,,,Added DCD/DAC/STAT(2010)5,
46000,46019,2025,EBRD-WBJTF,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,BERD-FSpBO,Banque européenne de reconstruction et de développement - Fonds spécial pour les Balkans occidentaux,100,,B02,B022,MCD,,,,Change of name and channel category (formerly code 47126 Other multilateral institutions) DCD/DAC/STAT(2010)5.  Added:  DCD/DAC/STAT(2007)7  (Incorrectly classified as a Regional Bank - 46014.  Corrected June 2008),
46000,46027,2025,FONPLATA,Financial Fund for the Development of the River Plate Basin,FONPLATA,Fonds financier pour le développement du bassin fluvial de la Plata,75,,B02,B021,,,,,Added: DCD/DAC/STAT(2019)34 ,
46000,46013,2025,IDB FSO,"Inter-American Development Bank, Fund for Special Operations ",BID FOS,"Banque interaméricaine de développement, Fonds opérations spécial",100,912,B02,B021,MCD,x,,,"Named updated after consulation with IDB, June 2012.  Part of the IADB´s ordinary capital since 2016.
",
