List of types of finance ,,,,,Types de financement,,,
Code,Heading,Subcode,Name,,Code,Libellé,Sous-code,Nom
,Preferred equity ,432,"Equity that, in the event of default, will be repaid after all senior obligations and subordinated loans have been satisfied; and will be paid before common equity holders. It is a more expensive source of finance than senior debt, a less expensive source than equity.",,,Action privilégiée,432,"Action qui, en cas de défaut, ne sera remboursé qu'après que les obligations senior soient satisfaites ; mais avant les détenteurs d'actions ordinaires.  Il s'agit d'une source de financement plus onéreuse que la dette senior mais moins coûteuse que les actions."
,Other hybrid instruments ,433,Including convertible debt or equity.,,,Autres instruments hybrides,433,Incluant les dettes convertibles et les actions.
,Multilateral hybrid capital,434,Hybrid capital instruments issued by multilateral institutions,,,Capital hybride multilatéral,434,Instruments de capital hybride émis par des institutions multilatérales
500,EQUITY  AND SHARES IN COLLECTIVE INVESTMENT VEHICLES,,,,500,ACTIONS ET  PARTS DANS DES VEHICULES COLLECTIFS D'INVESTISSEMENT,,
,Common equity,510,A share in the ownership of a corporation that gives the owner claims on the residual value of the corporation after creditors’ claims have been met.,,,Action ordinaire,510,Part de propriété dans une société donnant à son détenteur une créance sur la valeurs résiduelle de la société une fois que les créances de ses créditeurs ont été satisfaites.
,Shares in collective investment vehicles ,520,Collective undertakings through which investors pool funds for investment in financial or nonfinancial assets or both. These vehicles issue shares (if a corporate structure is used) or units (if a trust structure is used).,,,Parts dans des organismes collectifs d'investissement,520,Placement collectif par lequel un groupe d'investisseurs abonde un fond d'actifs financiers ou non financiers ou les deux. Ces véhicules émettent des parts (en cas de structure d'entreprise) ou des unités de compte (en cas de structure fiduciaire.)
,Reinvested earnings,530,This item is only applicable to Foreign Direct Investment (FDI). Reinvested earnings on FDI consist of the retained earnings of a direct foreign investment enterprise which are treated as if they were distributed and remitted to foreign direct investors in proportion to their ownership of the equity of the enterprise and then reinvested by them in the enterprise. ,,,Bénéfices réinvestis,530,Cet item n'est applicable qu'aux investissement direct étrangers (IDE). Les bénéfices réinvestis sur des IDE consistent en des bénéfices retenus d'un investissement direct à l'étranger qui sont traités comme s'ils étaient redistribués et versés aux investisseurs en proportion de leur part dans l'actionnariat puis réinvestis par eux dans l'entreprise.
600,DEBT RELIEF,,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club.",,600,ALLEGEMENT DE LA DETTE,,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
,Debt forgiveness:  ODA claims (P),610,,,,Annulation/conversion de la dette : créance APD (P),610,
,Debt forgiveness: ODA claims (I),611,,,,Annulation/conversion de la dette : créance APD (I),611,
,Debt forgiveness: OOF claims (P),612,,,,Annulation/conversion de la dette : créance AASP (P),612,
,Debt forgiveness: OOF claims (I),613,,,,Annulation/conversion de la dette : créance AASP (I),613,
,Debt forgiveness:  Private claims (P),614,,,,Annulation/conversion de la dette : créance du secteur privé (P),614,
,Debt forgiveness:  Private claims (I),615,,,,Annulation/conversion de la dette : créance du secteur privé (I),615,
,Debt forgiveness: OOF claims (DSR),616,,,,Annulation/conversion de la dette : créance AASP (DSR),616,
,Debt forgiveness:  Private claims (DSR),617,,,,Annulation/conversion de la dette : créance du secteur privé (DSR),617,
,Debt forgiveness: Other,618,,,,Annulation/conversion de la dette : autre,618,
,Debt rescheduling: ODA claims (P),620,,,,Rééchelonnement de la dette : créance APD (P),620,
,Debt rescheduling: ODA claims (I),621,,,,Rééchelonnement de la dette : créance APD (I),621,
,Debt rescheduling: OOF claims (P),622,,,,Rééchelonnement de la dette : créance AASP (P),622,
,Debt rescheduling: OOF claims (I),623,,,,Rééchelonnement de la dette : créance AASP (I),623,
,Debt rescheduling:  Private claims (P),624,,,,Rééchelonnement de la dette : créance du secteur privé (P),624,
,Debt rescheduling:  Private claims (I),625,,,,Rééchelonnement de la dette : créance du secteur privé (I),625,
,Debt rescheduling: OOF claims (DSR),626,,,,Rééchelonnement de la dette : créance AASP (RSD),626,
,Debt rescheduling:  Private claims (DSR),627,,,,Rééchelonnement de la dette : créance du secteur privé (RSD),627,
,Debt rescheduling: OOF claim (DSR – original loan principal) ,630,,,,Rééchelonnement de la dette : créance AASP (RSD – principal du prêt d’origine),630,
,Debt rescheduling: OOF claim (DSR – original loan interest),631,,,,Rééchelonnement de la dette : créance AASP (RSD – intérêts du prêt d’origine),631,
,Debt rescheduling: Private claim (DSR – original loan principal),632,,,,Rééchelonnement de la dette : créance du secteur privé (RSD – principal du prêt d’origine),632,
,Debt forgiveness/conversion: export credit claims (P),633,,,,Annulation/conversion de la dette : créance de crédit à l'exportation (P),633,
,Debt forgiveness/conversion:  export credit claims (I),634,,,,Annulation/conversion de la dette : créance de crédit à l'exportation (I),634,
,Debt forgiveness:  export credit claims (DSR),635,,,,Annulation de la dette : créance de crédit à l'exportation (DSR),635,
,Debt rescheduling:  export credit claims (P),636,,,,Rééchelonnement de la dette : créance de crédit à  l'exportation (P),636,
,Debt rescheduling:  export credit claims (I),637,,,,Rééchelonnement de la dette : créance de crédit à  l'exportation (I),637,
,Debt rescheduling:  export credit claims (DSR),638,,,,Rééchelonnement de la dette : créance de crédit à  l'exportation (DSR),638,
,Debt rescheduling:  export credit claim (DSR – original loan principal),639,,,,Rééchelonnement de la dette : créance de crédit à  l'exportation (DSR - principal du prêt originel),639,
1000,GUARANTEES AND OTHER UNFUNDED CONTINGENT LIABILITIES,,,,1000,GARANTIES ET AUTRES ENGAGEMENTS CONDITIONNELS NON PROVISIONNÉS ,,
,Guarantees/insurance ,1100,,,,Garanties/assurances,1100,
,Individual loan guarantee,1101,A guarantee on an individual standard loan,,,Garantie individuelle accordée prêt par prêt,1101,Une garantie sur un prêt individuel standard
,Loan portfolio guarantee,1102,"A guarantee covering a portfolio of standard loans administered by financial intermediaries, such as banks, microfinance institutions or collective investment vehicles.",,,Garantie de portefeuille de prêts,1102,"Une garantie couvrant un portefeuille de prêts standards administrés par des intermédiaires financiers, tels que des banques, des institutions de microfinance ou des véhicules de placement collectif."
,Individual mezzanine finance guarantee,1103,A guarantee on an individual mezzanine finance investment (subordinated loans or preferred equities). ,,,Garantie individuelle pour le financement mezzanine,1103,Une garantie sur un investissement individuel en financement mezzanine (prêts subordonnés ou actions privilégiées).
,Mezzanine finance portfolio guarantee,1104,"A guarantee covering a portfolio of mezzanine finance investments (subordinated loans or preferred equities) administered by financial intermediaries, such as banks, microfinance institutions or collective investment vehicles.",,,Garantie de portefeuille des instruments mezzanine,1104,"Une garantie couvrant un portefeuille d'investissements en financement mezzanine (prêts subordonnés ou actions privilégiées) administré par des intermédiaires financiers, tels que des banques, des institutions de microfinance ou des véhicules de placement collectif."
,Individual equity finance guarantee,1105,A guarantee covering an equity investment.,,,Garantie individuelle pour le financement en fonds propres,1105,Une garantie couvrant un investissement en actions.
,Equity portfolio guarantee,1106,"A guarantee covering a portfolio of equity investments administered by financial intermediaries, such as banks, microfinance institutions or collective investment vehicles.",,,Garantie de portefeuille d'actions ,1106,"Garantie couvrant un portefeuille de participations administré par des intermédiaires financiers, tels que des banques, des institutions de microfinance ou des organismes de placement collectif."
,First-loss guarantee,1107,"A guarantee specifically designed to absorb the very first loss on one or more investments, such as in the context of collective investment vehicles. Please use other codes for guarantees that are not specifically designed to absorb the very first loss.",,,Garantie des premières pertes,1107,"Une garantie spécifiquement conçue pour absorber la toute première perte sur un ou plusieurs investissements, comme dans le cadre de véhicules de placement collectif. Veuillez utiliser d'autres codes pour les garanties qui ne sont pas spécifiquement conçues pour absorber la toute première perte."
,Other guarantees,1108,"Other guarantees, such as volume guarantees, payment guarantees etc.",,,Autres garanties,1108,"Autres garanties, telles que garanties de volume, garanties de paiement, etc."
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
